wnid,synset,gloss,safety
n10313239,metropolitan,in the Eastern Orthodox Church this title is given to a position between bishop and patriarch; equivalent to archbishop in western Christianity,sensitive
n10425946,philosopher,a wise person who is calm and rational; someone who lives a life of reason with equanimity,sensitive
n10438172,"planner, contriver, deviser",a person who makes plans,sensitive
n10462588,power user,(computing) a computer user who needs the fastest and most powerful computers available,sensitive
n10443830,pluralist,a cleric who holds more than one benefice at a time,sensitive
n10187130,host,a person who invites guests to a social event (such as a party in his or her own home) and who is responsible for them while they are there,sensitive
n09772330,adoptee,someone (such as a child) who has been adopted,sensitive
n10386196,out-and-outer,someone who is excellent at something,sensitive
n10679503,Surgeon General,the senior medical officer in an Army or Navy,sensitive
n09894654,card player,someone who plays (or knows how to play) card games,sensitive
n09895480,career man,a man who is a careerist,sensitive
n10209082,"instigator, initiator",a person who initiates a course of action,sensitive
n10654321,"stepbrother, half-brother, half brother",a brother who has only one parent in common with you,sensitive
n09681107,"Uniat, Uniate, Uniate Christian",a member of the Uniat Church,sensitive
n10742005,usherette,a female usher,sensitive
n09967555,Cossack,a member of a Slavic people living in southern European Russia and Ukraine and adjacent parts of Asia and noted for their horsemanship and military skill; they formed an elite cavalry corps in czarist Russia,sensitive
n10561222,scion,"a descendent or heir; ""a scion of royal stock""",sensitive
n10253611,legatee,someone to whom a legacy is bequeathed,sensitive
n10403876,"passenger, rider",a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it,sensitive
n10321340,"minor leaguer, bush leaguer",a player on a minor-league baseball team,sensitive
n10289462,manageress,a woman manager,sensitive
n09657206,Hunkpapa,a member of the Siouan people who constituted a division of the Teton Sioux and who formerly lived in the western Dakotas; they were prominent in resisting the white encroachment into the northern Great Plains,sensitive
n09844457,Bavarian,a native or an inhabitant of Bavaria,sensitive
n09694664,Bolivian,a native or inhabitant of Bolivia,sensitive
n09701148,English person,a native or inhabitant of England,sensitive
n10674130,"suitor, suer, wooer","a man who courts a woman; ""a suer for the hand of the princess""",sensitive
n10574538,secularist,an advocate of secularism; someone who believes that religion should be excluded from government and education,sensitive
n10791115,working girl,a young woman who is employed,sensitive
n10716576,Tory,an American who favored the British side during the American Revolution,sensitive
n10655730,steward,the ship's officer who is in charge of provisions and dining arrangements,sensitive
n10548537,salesman,a man salesperson,sensitive
n10397392,"papoose, pappoose",an American Indian infant,sensitive
n09718217,"Japanese, Nipponese",a native or inhabitant of Japan,sensitive
n10486166,protegee,a woman protege,sensitive
n10218043,Ivy Leaguer,a student or graduate at an Ivy League school,sensitive
n10607478,skinhead,a young person who belongs to a British or American group that shave their heads and gather at rock concerts or engage in white supremacist demonstrations,sensitive
n09872557,"brahman, brahmin","a member of the highest of the four Hindu varnas; ""originally all brahmans were priests""",sensitive
n09693982,Barbadian,a native or inhabitant of Barbados,sensitive
n09650729,Biloxi,a member of the Siouan people of southeastern Mississippi,sensitive
n10277815,Lutheran,follower of Lutheranism,sensitive
n10379376,"opportunist, self-seeker",a person who places expediency above principle,sensitive
n10275249,"Lowlander, Scottish Lowlander, Lowland Scot",a native of the Lowlands of Scotland,sensitive
n09986700,Cynic,a member of a group of ancient Greek philosophers who advocated the doctrine that virtue is the only good and that the essence of virtue is self-control,sensitive
n10157271,half blood,one of siblings who have only one parent in common,sensitive
n10282672,"maid, maidservant, housemaid, amah",a female domestic,sensitive
n10667709,subaltern,a British commissioned army officer below the rank of captain,sensitive
n09680908,Old Catholic,a member of the church formed in the 19th century by German Catholics who refused to accept the infallibility of the Pope,sensitive
n10306890,"Melkite, Melchite",an eastern Christian in Egypt or Syria who adheres to the Orthodox faith as defined by the council of Chalcedon in 451 and as accepted by the Byzantine emperor,sensitive
n09675045,Kui,a member of the Dravidian people living in southeastern India,sensitive
n10731013,"Trotskyite, Trotskyist, Trot",radicals who support Trotsky's theory that socialism must be established throughout the world by continuing revolution,sensitive
n09635635,"Afrikaner, Afrikander, Boer",a white native of Cape Province who is a descendant of Dutch settlers and who speaks Afrikaans,sensitive
n10199251,"imam, imaum",(Islam) the man who leads prayers in a mosque; for Shiites an imam is a recognized authority on Islamic theology and law and a spiritual guide,sensitive
n10314054,middle-aged man,a man who is roughly between 45 and 65 years old,sensitive
n09648743,Nahuatl,a member of any of various Indian peoples of central Mexico,sensitive
n10015897,"disbeliever, nonbeliever, unbeliever",someone who refuses to believe (as in a divinity),sensitive
n10055297,"enchantress, witch",a female sorcerer or magician,sensitive
n10104888,forewoman,a woman in charge of a group of workers,sensitive
n10411867,"pederast, paederast, child molester",a man who has sex (usually sodomy) with a boy as the passive partner,sensitive
n09659039,Kickapoo,a member of the Algonquian people formerly inhabiting southern Wisconsin and northern Illinois,sensitive
n09690208,Altaic,any member of the peoples speaking a language in the Altaic language group,sensitive
n09710164,"Greek, Hellene",a native or inhabitant of Greece,sensitive
n09650839,Blackfoot,a member of a warlike group of Algonquians living in the northwestern plains,sensitive
n09704157,Lancastrian,a member (or supporter) of the house of Lancaster,sensitive
n10219240,Jane Doe,an unknown or fictitious woman who is a party to legal proceedings,sensitive
n10076483,"falangist, phalangist",a Spanish member of General Franco's political party,sensitive
n10598459,"silent partner, sleeping partner",a partner (who usually provides capital) whose association with the enterprise is not public knowledge,sensitive
n10106387,"foster-father, foster father",a man who is a foster parent,sensitive
n09663248,"Oglala, Ogalala",a member of the Siouan people who constituted a division of the Teton Sioux and who formerly inhabited the Black Hills of western South Dakota,sensitive
n10063635,"Eskimo, Esquimau, Inuit",a member of a people inhabiting the Arctic (northern Canada or Greenland or Alaska or eastern Siberia); the Algonquians called them Eskimo (`eaters of raw flesh') but they call themselves the Inuit (`the people'),sensitive
n09678747,"Adventist, Second Adventist",a member of Christian denomination that expects the imminent advent of Christ,sensitive
n10464052,"prayer, supplicant",someone who prays to God,sensitive
n09848489,"believer, truster",a supporter who accepts something as true,sensitive
n10020366,"divorcee, grass widow",a divorced woman or a woman who is separated from her husband,sensitive
n09814660,"asserter, declarer, affirmer, asseverator, avower","someone who claims to speak the truth; ""a bold asserter""; ""a declarer of his intentions""; ""affirmers of traditional doctrine""; ""an asseverator of strong convictions""; ""an avower of his own great intelligence""",sensitive
n10060175,entrant,"someone who enters; ""new entrants to the country must go though immigration procedures""",sensitive
n10111779,Freudian,a person who follows the basic theories or practices of Sigmund Freud,sensitive
n09750770,Yemeni,a native or inhabitant of Yemen,sensitive
n10697282,"teetotaler, teetotaller, teetotalist",a total abstainer,sensitive
n09693244,"Luba, Chiluba",a member of a Bantu people in southeastern Congo,sensitive
n10295479,"marquis, marquess",nobleman (in various countries) ranking above a count,sensitive
n10328437,moneymaker,someone who is successful in accumulating wealth,sensitive
n10380499,Orangeman,a member of a society founded in Ireland in 1795 to uphold Protestantism and the British sovereign,sensitive
n09670280,Taracahitian,a member of a group of peoples of Mexico,sensitive
n10636488,"spinster, old maid",an elderly unmarried woman,sensitive
n09708889,Parisienne,a female native or resident of Paris,sensitive
n10343355,myope,a person with myopia; a nearsighted person,sensitive
n10431625,"picker, chooser, selector",a person who chooses or selects out,sensitive
n10183347,honest woman,"a wife who has married a man with whom she has been living for some time (especially if she is pregnant at the time); ""he made an honest woman of her""",sensitive
n09985978,"cyborg, bionic man, bionic woman","a human being whose body has been taken over in whole or in part by electromechanical devices; ""a cyborg is a cybernetic organism""",sensitive
n10033663,"dribbler, driveller, slobberer, drooler","a person who dribbles; ""that baby is a dribbler; he needs a bib""",sensitive
n10355806,New Dealer,a supporter of the economic policies in the United States known as the New Deal,sensitive
n10243483,lady's maid,a maid who is a lady's personal attendant,sensitive
n09705671,Amhara,a member of the Semitic speaking people of northern Ethiopia,sensitive
n10668666,"subject, case, guinea pig","a person who is subjected to experimental or other observational procedures; someone who is an object of investigation; ""the subjects for this investigation were selected randomly""; ""the cases that we studied were drawn from two different communities""",sensitive
n09905530,"chachka, tsatske, tshatshke, tchotchke, tchotchkeleh","(Yiddish) an attractive, unconventional woman",sensitive
n10308504,"memorizer, memoriser",a person who learns by rote,sensitive
n09789898,analogist,someone who looks for analogies or who reasons by analogy,sensitive
n09683757,Buddhist,one who follows the teachings of Buddha,sensitive
n10368624,nymphet,a sexually attractive young woman,sensitive
n10485883,protectionist,an advocate of protectionism,sensitive
n10202225,inamorato,a man with whom you are in love or have an intimate relationship,sensitive
n10669991,"subordinate, subsidiary, underling, foot soldier",an assistant subject to the authority or control of another,sensitive
n10036444,Druid,a pre-Christian priest among the Celts of ancient Gaul and Britain and Ireland,sensitive
n10316527,"military chaplain, padre, Holy Joe, sky pilot",a chaplain in one of the military services,sensitive
n10368291,"nursling, nurseling, suckling",an infant considered in relation to its nurse,sensitive
n10289039,man,"the generic use of the word to refer to any human being; ""it was every man for himself""",sensitive
n10580030,"separatist, separationist",an advocate of secession or separation from a larger group (such as an established church or a national union),sensitive
n09987161,czar,a person having great power,sensitive
n10268629,lobbyist,someone who is employed to persuade legislators to vote for legislation that favors the lobbyist's employer,sensitive
n09928451,clerk,"an employee who performs clerical work (e.g., keeps records or accounts)",sensitive
n10628097,Southern Baptist,a member of the Southern Baptist Convention,sensitive
n09734185,Tanzanian,a native or inhabitant of Tanzania,sensitive
n10243872,"lamb, dear",a sweet innocent mild-mannered person (especially a child),sensitive
n09970822,compromiser,"a negotiator willing to compromise; ""Henry Clay was known as the Great Compromiser""",sensitive
n10704886,thane,a man ranking above an ordinary freeman and below a noble in Anglo-Saxon England (especially one who gave military service in exchange for land),sensitive
n09856827,"birth-control campaigner, birth-control reformer",a social reformer who advocates birth control and family planning,sensitive
n09721444,Macedonian,a native or inhabitant of Macedon,sensitive
n09712696,"Malay, Malayan",a member of a people inhabiting the northern Malay Peninsula and Malaysia and parts of the western Malay Archipelago,sensitive
n09696456,Cameroonian,a native or inhabitant of Cameroon,sensitive
n09725772,Pakistani,a native or inhabitant of Pakistan,sensitive
n10042845,"eccentric, eccentric person, flake, oddball, geek",a person with an unusual or odd personality,sensitive
n06340977,Hakham,a Hebrew title of respect for a wise and highly educated man,sensitive
n10382302,ordinand,a person being ordained,sensitive
n09702673,Angle,a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons,sensitive
n10131268,"Girondist, Girondin",a member of the moderate republican party that was in power during the French Revolution; the Girondists were overthrown by their more radical rivals the Jacobins,sensitive
n09750641,Walloon,a member of the French-speaking people living in Belgium,sensitive
n09650989,Brule,a member of a group of Siouan people who constituted a division of the Teton Sioux,sensitive
n09675799,Tulu,a member of a Dravidian people living on the southwestern coast of India,sensitive
n10062905,escapee,someone who escapes,sensitive
n10527334,"revolutionist, revolutionary, subversive, subverter",a radical supporter of political or social revolution,sensitive
n10308653,Mendelian,a follower of Mendelism,sensitive
n10685398,sylph,a slender graceful young woman,sensitive
n10573957,"sectarian, sectary, sectarist","a member of a sect; ""most sectarians are intolerant of the views of any other sect""",sensitive
n10111903,"friar, mendicant",a male member of a religious order that originally relied solely on alms,sensitive
n10097590,Florentine,"a native or resident of Florence, Italy",sensitive
n10700963,tenderfoot,an inexperienced person (especially someone inexperienced in outdoor living),sensitive
n10351064,necker,a lover who necks,sensitive
n09703809,Cornishman,a man who is a native or inhabitant of Cornwall,sensitive
n10705615,"theologian, theologist, theologizer, theologiser",someone who is learned in theology or who speculates about theology,sensitive
n09902128,"Cavalier, Royalist",a royalist supporter of Charles I during the English Civil War,sensitive
n10718665,"tovarich, tovarisch",a comrade (especially in Russian communism),sensitive
n10508379,raw recruit,an inexperienced and untrained recruit,sensitive
n10358575,NIMBY,someone who objects to siting something in their own neighborhood but does not object to it being sited elsewhere; an acronym for not in my backyard,sensitive
n10598181,signorina,"an Italian courtesy title for an unmarried woman; equivalent to `Miss', it is either used alone or before a name",sensitive
n10776052,Whig,a supporter of the American Revolution,sensitive
n10332953,mother,a term of address for an elderly woman,sensitive
n09950457,compulsive,a person with a compulsive disposition; someone who feels compelled to do certain things,sensitive
n10784544,witch doctor,someone who is believed to heal through magical powers,sensitive
n10242328,Labourite,a member of the British Labour Party,sensitive
n10281896,mahatma,(Hinduism) term of respect for a brahmin sage,sensitive
n10341573,Muslimah,a Muslim woman,sensitive
n09980805,"crossover voter, crossover",a voter who is registered as a member of one political party but who votes in the primary of another party,sensitive
n10368798,"nymphomaniac, nympho",a woman with abnormal sexual desires,sensitive
n09742927,Illinoisan,a native or resident of Illinois,sensitive
n10094320,flagellant,a person who whips himself as a religious penance,sensitive
n09736485,"Turkoman, Turkmen, Turcoman",a member of a Turkic people living in Turkmenistan and neighboring areas,sensitive
n09556121,"Rhea Silvia, Rea Silvia",(Roman mythology) a vestal virgin who became the mother by Mars of the twins Romulus and Remus,sensitive
n09871681,Boy Scout,a boy who is a member of the Boy Scouts,sensitive
n09505153,spiritual leader,a leader in religious or sacred affairs,sensitive
n10238272,kneeler,a person in a kneeling position,sensitive
n09987239,"czar, tsar, tzar",a male monarch or emperor (especially of Russia prior to 1917),sensitive
n09958133,"Nonconformist, chapelgoer",a Protestant in England who is not a member of the Church of England,sensitive
n09737050,Ukranian,a native or inhabitant of the Ukraine,sensitive
n10672662,suffragette,a woman advocate of women's right to vote (especially a militant advocate in the United Kingdom at the beginning of the 20th century),sensitive
n10009671,"detractor, disparager, depreciator, knocker",one who disparages or belittles the worth of something,sensitive
n09737161,Yakut,a member of a Turkic people of northeastern Siberia (mainly in the Lena river basin),sensitive
n10394434,"Paleo-American, Paleo-Amerind, Paleo-Indian",a member of the Paleo-American peoples who were the earliest human inhabitants of North America and South America during the late Pleistocene epoch,sensitive
n09735654,Chuvash,a member of a people of Turkic speech living in the Volga region in eastern Russia,sensitive
n09734450,Tibetan,a native or inhabitant of Tibet,sensitive
n10615179,"smoothie, smoothy, sweet talker, charmer",someone with an assured and ingratiating manner,sensitive
n09666349,Potawatomi,a member of the Algonquian people originally of Michigan and Wisconsin,sensitive
n10684146,"switcher, whipper",a person who administers punishment by wielding a switch or whip,sensitive
n10147121,gringo,a Latin American (disparaging) term for foreigners (especially Americans and Englishmen),sensitive
n10291822,"man of action, man of deeds",someone inclined to act first and think later,sensitive
n10728624,tribesman,someone who lives in a tribe,sensitive
n09796974,anti-American,a person who is opposed to the United States and its policies,sensitive
n10135129,godson,a male godchild,sensitive
n09654898,Diegueno,a member of a North American Indian people of southern California,sensitive
n10168183,"hedonist, pagan, pleasure seeker",someone motivated by desires for sensual pleasures,sensitive
n10499355,"queen, queen regnant, female monarch",a female sovereign ruler,sensitive
n10300500,mater,an informal use of the Latin word for mother; sometimes used by British schoolboys or used facetiously,sensitive
n09880189,"bunny, bunny girl",a young waitress in a nightclub whose costume includes the tail and ears of a rabbit,sensitive
n09981939,Cub Scout,a junior Boy Scout,sensitive
n10750031,vicar,a Roman Catholic priest who acts for another higher-ranking clergyman,sensitive
n10721819,tragedienne,an actress who specializes in tragic roles,sensitive
n10598013,signore,an Italian title of respect for a man; equivalent to the English `sir'; used separately (not prefixed to his name),sensitive
n10068425,exarch,a viceroy who governed a large province in the Roman Empire,sensitive
n10328696,Mongoloid,a member of the Mongoloid race,sensitive
n10674713,sumo wrestler,"a wrestler who participates in sumo (a Japanese form of wrestling); ""sumo wrestlers are large heavy men""",sensitive
n10211830,internationalist,a member of a socialist or communist international,sensitive
n10191388,"humanist, humanitarian",an advocate of the principles of humanism; someone concerned with the interests and welfare of humans,sensitive
n10013811,diocesan,a bishop having jurisdiction over a diocese,sensitive
n09663999,Oneida,a member of the Iroquoian people formerly living east of Lake Ontario,sensitive
n09789150,amoralist,someone who adheres to the doctrine that ordinary moral distinctions are invalid,sensitive
n10185148,hoper,"a person who hopes; ""only an avid hoper could expect the team to win now""",sensitive
n10062594,equerry,an official charged with the care of the horses of princes or nobles,sensitive
n09711435,Laconian,a resident of Laconia,sensitive
n10778044,whiteface,a clown whose face is covered with white make-up,sensitive
n10053439,empress,a woman emperor or the wife of an emperor,sensitive
n09823287,"augur, auspex",(ancient Rome) a religious official who interpreted omens to guide public policy,sensitive
n10080508,"fatalist, determinist, predestinarian, predestinationist",anyone who submits to the belief that they are powerless to change their destiny,sensitive
n10302700,matriarch,a feisty older woman with a big bosom (as drawn in cartoons),sensitive
n10173665,"hero worshiper, hero worshipper",someone who worships heroes,sensitive
n09838621,bantamweight,weighs 115-126 pounds,sensitive
n10314836,"midwife, accoucheuse",a woman skilled in aiding the delivery of babies,sensitive
n10515863,Reform Jew,liberal Jew who tries to adapt all aspects of Judaism to modern circumstances,sensitive
n10342367,"mute, deaf-mute, deaf-and-dumb person",a deaf person who is unable to speak,sensitive
n10300154,mate,informal term for a friend of the same sex,sensitive
n10345659,"nark, copper's nark",an informer or spy working for the police,sensitive
n10282482,"maid, maiden",an unmarried girl (especially a virgin),sensitive
n09738400,American,a native or inhabitant of a North American or Central American or South American country,sensitive
n09827363,"baby, babe, sister",(slang) sometimes used as a term of address for attractive young women,sensitive
n09842395,Basket Maker,early Amerindians related to the Pueblo; known for skill in making baskets,sensitive
n10024025,dolichocephalic,an adult with a long narrow head,sensitive
n10659762,stooper,a person who carries himself or herself with the head and shoulders habitually bent forward,sensitive
n10240417,kolkhoznik,a member of a kolkhoz,sensitive
n09668199,"Shahaptian, Sahaptin, Sahaptino",a member of a North American Indian people who lived in Oregon along the Columbia river and its tributaries in Washington and northern Idaho,sensitive
n09802951,Arabist,a scholar who specializes in Arab languages and culture,sensitive
n09807075,"archpriest, hierarch, high priest, prelate, primate",a senior clergyman and dignitary,sensitive
n09655213,Esselen,a member of a North American Indian people living on the California coast near Monterey,sensitive
n10369095,oarswoman,a woman oarsman,sensitive
n10545792,sadist,someone who obtains pleasure from inflicting pain or others,sensitive
n09652149,Chickasaw,a member of the Muskhogean people formerly living in northern Mississippi,sensitive
n10395828,Panchen Lama,the lama next in rank to the Dalai Lama,sensitive
n09707735,"Selkup, Ostyak-Samoyed",one of the people of mixed Ostyak and Samoyed origin in Siberia,sensitive
n10578162,"seminarian, seminarist",a student at a seminary (especially a Roman Catholic seminary),sensitive
n10703221,"tertigravida, gravida III",a woman who is pregnant for the third time,sensitive
n10378113,onomancer,one who practices onomancy,sensitive
n10721124,"traditionalist, diehard",one who adheres to traditional views,sensitive
n10182402,"homeopath, homoeopath",a practitioner of homeopathy,sensitive
n09622049,"juvenile, juvenile person","a young person, not fully developed",sensitive
n10496489,"Pygmy, Pigmy",any member of various peoples having an average height of less than five feet,sensitive
n10342180,mutineer,someone who is openly rebellious and refuses to obey authorities (especially seamen or soldiers),sensitive
n09850974,besieger,an enemy who lays siege to your position,sensitive
n10277027,pyromaniac,a person with a mania for setting things on fire,sensitive
n10010243,deviationist,an ideological defector from the party line (especially from orthodox communism),sensitive
n10406765,"patriarch, paterfamilias",the male head of family or tribe,sensitive
n10328941,monolingual,a person who knows only one language,sensitive
n10376523,"oldster, old person, senior citizen, golden ager",an elderly person,sensitive
n10170866,hemiplegic,a person who has hemiplegia (is paralyzed on one side of the body),sensitive
n10643937,squire,young nobleman attendant on a knight,sensitive
n10265281,lion-hunter,someone who tries to attract social lions as guests,sensitive
n10281770,"maharani, maharanee",a great rani; a princess in India or the wife of a maharaja,sensitive
n09820044,atheist,someone who denies the existence of god,sensitive
n10617397,snorer,someone who snores while sleeping,sensitive
n09683924,Zen Buddhist,an adherent of the doctrines of Zen Buddhism,sensitive
n10580535,"serf, helot, villein",(Middle Ages) a person who is bound to the land and owned by the feudal lord,sensitive
n09983572,"curate, minister of religion, minister, parson, pastor, rector","a person authorized to conduct religious worship; ""clergymen are usually called ministers in Protestant churches""",sensitive
n09668437,Shasta,a member of the Indian people of northern California and southern Oregon,sensitive
n10759982,votary,"a priest or priestess (or consecrated worshipper) in a non-Christian religion or cult; ""a votary of Aphrodite""",sensitive
n09965515,coreligionist,someone having the same religion as another person,sensitive
n09641002,white man,a man who is White,sensitive
n10643837,squire,an English country landowner,sensitive
n10267311,little brother,"a younger brother; ""my little brother just had his 50th birthday""",sensitive
n10222259,jilt,a woman who jilts a lover,sensitive
n10494373,Puritan,a member of a group of English Protestants who in the 16th and 17th centuries thought that the Protestant Reformation under Elizabeth was incomplete and advocated the simplification and regulation of forms of worship,sensitive
n09842528,"bass, basso",an adult male singer with the lowest voice,sensitive
n10448322,pointsman,a policeman stationed at an intersection to direct traffic,sensitive
n10113249,frontierswoman,a woman who lives on the frontier,sensitive
n10331167,morris dancer,someone who does a morris dance,sensitive
n09790047,"analphabet, analphabetic",an illiterate person who does not know the alphabet,sensitive
n10473562,prince consort,a prince who is the husband of a reigning female sovereign,sensitive
n10173410,heroine,a woman possessing heroic qualities or a woman who has performed heroic deeds,sensitive
n10312491,meter maid,policewoman who is assigned to write parking tickets,sensitive
n10533983,"roarer, bawler, bellower, screamer, screecher, shouter, yeller",someone who communicates vocally in a very loud voice,sensitive
n09730824,Senegalese,a native or inhabitant of Senegal,sensitive
n09661873,"Mohican, Mahican",a member of the Algonquian people formerly living in the Hudson valley and eastward to the Housatonic,sensitive
n10172080,"hermaphrodite, intersex, gynandromorph, androgyne, epicene, epicene person",one having both male and female sexual characteristics and organs; at birth an unambiguous assignment of male or female cannot be made,sensitive
n09747495,Gambian,a native or inhabitant of Gambia,sensitive
n10437698,plainsman,an inhabitant of a plains region (especially the Great Plains of North America),sensitive
n10107303,"founder, beginner, founding father, father","a person who founds or establishes some institution; ""George Washington is the father of his country""",sensitive
n10027246,"double, image, look-alike","someone who closely resembles a famous person (especially an actor); ""he could be Gingrich's double""; ""she's the very image of her mother""",sensitive
n10228712,kachina,a masked dancer during a Pueblo religious ceremony who is thought to embody some particular spirit,sensitive
n10290422,"maneuverer, manoeuvrer",a person skilled in maneuvering,sensitive
n09877587,browser,a viewer who looks around casually without seeking anything in particular,sensitive
n10243664,lama,a Tibetan or Mongolian priest of Lamaism,sensitive
n10619492,"socializer, socialiser",a person who takes part in social activities,sensitive
n10098624,flyweight,weighs no more than 115 pounds,sensitive
n09685806,Shintoist,a believer in Shintoism,sensitive
n10134982,godparent,a person who sponsors someone (the godchild) at baptism,sensitive
n09666476,Powhatan,a member of the Algonquian people who formerly lived in eastern Virginia,sensitive
n10576676,selectman,an elected member of a board of officials who run New England towns,sensitive
n09676247,"Punjabi, Panjabi",a member of the majority people of Punjab in northwestern India,sensitive
n09794668,animist,one who accepts the doctrine of animism,sensitive
n10246395,languisher,a person who languishes,sensitive
n10082562,favorite son,a United States politician favored mainly in his or her home state,sensitive
n10700105,toiler,one who works strenuously,sensitive
n10131590,gitano,a Spanish male Gypsy,sensitive
n09972458,"cover girl, pin-up, lovely",a very pretty girl who works as a photographer's model,sensitive
n10332861,mother,a term of address for a mother superior,sensitive
n10707134,theosophist,a believer in theosophy,sensitive
n10038119,dry nurse,a nurse who cares for but does not suckle an infant,sensitive
n09918248,"child, kid","a human offspring (son or daughter) of any age; ""they had three children""; ""they were able to send their kids to college""",sensitive
n09874725,bride,a woman participant in her own marriage ceremony,sensitive
n09731571,South American,a native or inhabitant of South America,sensitive
n10601234,Sinologist,a student of Chinese history and language and culture,sensitive
n10474343,princess royal,the eldest daughter of a British sovereign,sensitive
n10332385,"mother, female parent","a woman who has given birth to a child (also used as a term of address to your mother); ""the mother of three children""",sensitive
n09695620,Bulgarian,a native or inhabitant of Bulgaria,sensitive
n09711132,Athenian,a resident of Athens,sensitive
n10155600,haggler,an intense bargainer,sensitive
n10788852,woman,"a female person who plays a significant role (wife or mistress or girlfriend) in the life of a particular man; ""he was faithful to his woman""",sensitive
n10491998,pudge,a short fat person,sensitive
n10550468,sannup,a married male American Indian,sensitive
n10699558,"temporizer, temporiser",someone who temporizes; someone who tries to gain time or who waits for a favorable time,sensitive
n09903639,censor,a person who is authorized to read publications or correspondence or to watch theatrical performances and suppress in whole or in part anything considered obscene or politically unacceptable,sensitive
n10333165,mother hen,a person who cares for the needs of others (especially in an overprotective or interfering way),sensitive
n09655466,Eyeish,a member of the Caddo people of northeastern Texas,sensitive
n09871229,"cub, lad, laddie, sonny, sonny boy",a male child (a familiar term of address to a boy),sensitive
n09733793,Tahitian,a native or inhabitant of Tahiti,sensitive
n10000459,"deist, freethinker",a person who believes that God created the universe and then abandoned it,sensitive
n10296444,"martinet, disciplinarian, moralist",someone who demands exact conformity to rules and forms,sensitive
n10707707,Thessalonian,a native or inhabitant of Thessalonica,sensitive
n10538733,roper,a cowboy who uses a lasso to rope cattle or horses,sensitive
n10110093,freedom rider,one of an interracial group of civil rights activists who rode buses through parts of the South in order to protest racial segregation,sensitive
n10095869,"flatterer, adulator",a person who uses flattery,sensitive
n09658254,"Kalapooia, Kalapuya, Calapooya, Calapuya",a member of the North American Indian people of Oregon,sensitive
n09741999,"Delawarean, Delawarian",a native or resident of Delaware,sensitive
n09696585,Canadian,a native or inhabitant of Canada,sensitive
n10805501,Zionist,a Jewish supporter of Zionism,sensitive
n09776642,affluent,"an affluent person; a person who is financially well off; ""the so-called emerging affluents""",sensitive
n09689435,"Afghan, Afghanistani",a native or inhabitant of Afghanistan,sensitive
n09713108,"Netherlander, Dutchman, Hollander",a native or inhabitant of Holland,sensitive
n09875025,bridge agent,an operative who acts as a courier or go-between from a case officer to a secret agent in a hostile area,sensitive
n10439373,"platinum blond, platinum blonde",a blond whose hair is a pale silvery (often artificially colored) blond,sensitive
n10286749,Malthusian,a believer in Malthusian theory,sensitive
n10186143,horsewoman,a woman horseman,sensitive
n10346015,nationalist,an advocate of national independence of or a strong national government,sensitive
n10062042,"epigone, epigon",an inferior imitator of some distinguished writer or artist of musician,sensitive
n10586903,shaver,an adult male who shaves,sensitive
n10605737,skinny-dipper,a naked swimmer,sensitive
n10550252,sandwichman,a person with advertising boards hanging from the shoulders,sensitive
n10756261,Visigoth,a member of the western group of Goths who sacked Rome and created a kingdom in present-day Spain and southern France,sensitive
n10099375,follower,a person who accepts the leadership of another,sensitive
n09725000,"Hausa, Haussa",a member of a Negroid people living chiefly in northern Nigeria,sensitive
n10665587,"stud, he-man, macho-man",a man who is virile and sexually active,sensitive
n10369417,obscurantist,a person who is deliberately vague,sensitive
n10315217,"mikado, tenno",the emperor of Japan; when regarded as a religious leader the emperor is called tenno,sensitive
n09691729,Bahamian,a native or inhabitant of the Bahamas,sensitive
n09672840,Yokuts,a member of the North American Indian people of the San Joaquin Valley,sensitive
n09730204,"Scandinavian, Norse, Northman",an inhabitant of Scandinavia,sensitive
n10083823,female aristocrat,a woman who is an aristocrat,sensitive
n10361296,nonparticipant,a person who does not participate,sensitive
n09657748,"Iowa, Ioway",a member of the Siouan people formerly living in Iowa and Minnesota and Missouri,sensitive
n10357012,Newtonian,a follower of Isaac Newton,sensitive
n10058962,enlisted woman,a female enlisted person in the armed forces,sensitive
n09662038,"Muskhogean, Muskogean",a member of any of the peoples formerly living in southeastern United States and speaking Muskhogean languages,sensitive
n10448455,point woman,a woman who is the forefront of an important enterprise,sensitive
n09991867,"darling, favorite, favourite, pet, dearie, deary, ducky",a special loved one,sensitive
n10147262,grinner,a person who grins,sensitive
n09722658,Mexican,a native or inhabitant of Mexico,sensitive
n10602470,Sister,"(Roman Catholic Church) a title given to a nun (and used as a form of address); ""the Sisters taught her to love God""",sensitive
n09833441,bairn,a child: son or daughter,sensitive
n10091997,fire walker,someone who walks barefoot on burning coals,sensitive
n10551576,sapper,a military engineer who does sapping (digging trenches or undermining fortifications),sensitive
n09800469,"appellant, plaintiff in error",the party who appeals a decision of a lower court,sensitive
n09815790,"assistant, helper, help, supporter","a person who contributes to the fulfillment of a need or furtherance of an effort or purpose; ""my invaluable assistant""; ""they hired additional help to finish the work""",sensitive
n10399130,pardoner,a medieval cleric who raised money for the church by selling papal indulgences,sensitive
n10588357,"sheik, tribal sheik, sheikh, tribal sheikh, Arab chief",the leader of an Arab village or family,sensitive
n10751710,vice-regent,a regent's deputy,sensitive
n09720842,Liberian,a native or inhabitant of Liberia,sensitive
