wnid,synset,gloss,imageability score
n10464052,"prayer, supplicant",someone who prays to God,3.25
n09760913,"accompanist, accompanyist",a person who provides musical accompaniment (usually on a piano),3.238095238
n10649197,starlet,a young (film) actress who is publicized as a future star,3.235294118
n10475835,print seller,someone who sells etchings and engravings etc.,3.230769231
n10756837,visiting fireman,an important or distinguished visitor,3.230769231
n10427223,photojournalist,a journalist who presents a story primarily through the use of photographs,3.230769231
n10509810,"real estate broker, real estate agent, estate agent, land agent, house agent","a person who is authorized to act as an agent for the sale of land; ""in England they call a real estate agent a land agent""",3.230769231
n10318607,millionairess,a woman millionaire,3.222222222
n09951070,computer scientist,a scientist who specializes in the theory of computation and the design of computers,3.222222222
n10104487,foreman,a man who is foreperson of a jury,3.222222222
n10659042,"stoker, fireman",a laborer who tends fires (as on a coal-fired train or steamship),3.222222222
n10728233,"trend-setter, taste-maker, fashion arbiter",someone who popularizes a new fashion,3.222222222
n10650162,"statesman, solon, national leader",a man who is a respected leader in national or international affairs,3.2
n10567613,Sea Scout,a Boy Scout enrolled in programs for water activities,3.2
n10500419,queen consort,the wife of a reigning king,3.2
n10157128,halfback,(football) the running back who plays the offensive halfback position,3.2
n10291942,man of letters,a man devoted to literary or scholarly activities,3.2
n10107303,"founder, beginner, founding father, father","a person who founds or establishes some institution; ""George Washington is the father of his country""",3.2
n10210512,intelligence analyst,a government analyst of information about an enemy or potential enemy,3.2
n10093818,"fishmonger, fishwife",someone who sells fish,3.2
n10543161,running back,(football) a back on the offensive team (a fullback or halfback) who tries to advance the ball by carrying it on plays from the line of scrimmage,3.2
n09944022,commissioner,a member of a commission,3.2
n10439373,"platinum blond, platinum blonde",a blond whose hair is a pale silvery (often artificially colored) blond,3.2
n09683757,Buddhist,one who follows the teachings of Buddha,3.2
n09920283,choreographer,someone who creates new dances,3.2
n10705448,theatrical producer,someone who produces theatrical performances,3.2
n10314836,"midwife, accoucheuse",a woman skilled in aiding the delivery of babies,3.2
n09676247,"Punjabi, Panjabi",a member of the majority people of Punjab in northwestern India,3.2
n09896401,"caroler, caroller",a singer of carols,3.2
n10450303,"politician, politico, pol, political leader",a person active in party politics,3.2
n09932098,pitching coach,an assistant baseball coach in charge of pitchers,3.2
n10018861,"distributor, distributer",someone who markets merchandise,3.2
n10500603,queen mother,a queen dowager who is mother of the reigning sovereign,3.2
n10417424,personality,"a person of considerable prominence; ""she is a Hollywood personality""",3.2
n10237676,"Klansman, Ku Kluxer, Kluxer",a member of the Ku Klux Klan,3.2
n10058962,enlisted woman,a female enlisted person in the armed forces,3.2
n09854421,billiard player,someone who plays billiards,3.2
n10540114,Mountie,colloquial term for a member of the Royal Canadian Mounted Police,3.2
n10344203,nailer,a worker who attaches something by nailing it,3.19047619
n10167152,heavyweight,a wrestler who weighs more than 214 pounds,3.19047619
n10382157,orderly sergeant,the first sergeant of a company; duties formerly included the conveyance of orders,3.1875
n10432441,pilgrim,someone who journeys in foreign lands,3.181818182
n10719036,town clerk,the official who keeps a town's records,3.181818182
n09974648,"craftsman, artisan, journeyman, artificer",a skilled worker who practices some trade or handicraft,3.181818182
n09793946,"angler, troller",a fisherman who uses a hook and line,3.181818182
n10006177,"dermatologist, skin doctor",a doctor who specializes in the physiology and pathology of the skin,3.181818182
n10700201,"tenant, renter","someone who pays rent to use land or a building or a car that is owned by someone else; ""the landlord can evict a tenant who doesn't pay the rent""",3.176470588
n10524869,"restaurateur, restauranter",the proprietor of a restaurant,3.176470588
n10146927,"greeter, saluter, welcomer","a person who greets; ""the newcomers were met by smiling greeters""",3.166666667
n09830194,back,(football) a person who plays in the backfield,3.166666667
n10328696,Mongoloid,a member of the Mongoloid race,3.166666667
n09902353,"cavalryman, trooper","a soldier mounted on horseback; ""a cavalryman always takes good care of his mount""",3.166666667
n10739391,Unknown Soldier,an unidentified soldier whose body is honored as a memorial,3.166666667
n10530571,rifleman,a soldier whose weapon is a rifle,3.166666667
n09811852,"artilleryman, cannoneer, gunner, machine gunner",a serviceman in the artillery,3.166666667
n10696508,technician,someone known for high skill in some intellectual or artistic technique,3.166666667
n10142166,grande dame,a middle-aged or elderly woman who is stylish and highly respected,3.166666667
n10097262,"floorwalker, shopwalker","an employee of a retail store who supervises sales personnel and helps with customer problems; ""a floorwalker is called a shopwalker in Britain""",3.166666667
n09964202,"copilot, co-pilot",a relief pilot on an airplane,3.166666667
n10791820,workmate,a fellow worker,3.166666667
n10317007,"military officer, officer","any person in the armed services who holds a position of authority or command; ""an officer is responsible for the lives of his men""",3.166666667
n09932336,coachman,a man who drives a coach (or carriage),3.166666667
n10171567,"herder, herdsman, drover",someone who drives a herd,3.16
n10253122,"left-hander, lefty, southpaw","a person who uses the left hand with greater skill than the right; ""their pitcher was a southpaw""",3.153846154
n10152763,guru,"a recognized leader in some field or of some movement; ""a guru of genomics""",3.153846154
n10624310,songster,a person who sings,3.153846154
n09779790,"agriculturist, agriculturalist, cultivator, grower, raiser",someone concerned with the science or art or business of cultivating the soil,3.153846154
n10742997,utility man,a baseball player valued for the ability to play at several positions,3.153846154
n10151261,guest of honor,the person in whose honor a gathering is held,3.151515152
n09805475,"architect, designer",someone who creates plans to be used in making something (such as buildings),3.142857143
n10333165,mother hen,a person who cares for the needs of others (especially in an overprotective or interfering way),3.142857143
n10406266,patriarch,a man who is older and higher in rank than yourself,3.142857143
n10776339,"whiner, complainer, moaner, sniveller, crybaby, bellyacher, grumbler, squawker",a person given to excessive complaints and crying and whining,3.142857143
n10106387,"foster-father, foster father",a man who is a foster parent,3.142857143
n10749928,"vibist, vibraphonist",a musician who plays the vibraphone,3.142857143
n09933098,"cobbler, shoemaker",a person who makes or repairs shoes,3.136363636
n10639817,sports editor,the newspaper editor responsible for sports news,3.133333333
n10624540,"songwriter, songster, ballad maker",a composer of words or music for popular songs,3.133333333
n10768903,washer,someone who washes things for a living,3.133333333
n10536274,rocket scientist,"a clever thinker; ""you do not have to be a rocket scientist to figure that out""",3.125
n09627807,"prize winner, lottery winner",the winner of a lottery,3.125
n09720256,"Latin American, Latino",a native of Latin America,3.125
n09718217,"Japanese, Nipponese",a native or inhabitant of Japan,3.125
n10370955,wine lover,a connoisseur of fine wines; a grape nut,3.125
n09901642,caterer,someone who provides food and service (as for a party),3.125
n09690083,Algerian,a native or inhabitant of Algeria,3.125
n10033572,dressmaker's model,someone who models dresses,3.117647059
n10241300,"laborer, manual laborer, labourer, jack",someone who works with their hands; someone engaged in manual labor,3.111111111
n10106509,"foster-mother, foster mother",a woman who is a foster parent and raises another's child,3.111111111
n10302576,"matriarch, materfamilias",a female head of a family or tribe,3.111111111
n10569011,"second lieutenant, 2nd lieutenant",a commissioned officer in the Army or Air Force or Marine Corps holding the lowest rank,3.111111111
n10145239,"great-aunt, grandaunt",an aunt of your father or mother,3.111111111
n10682953,"sweetheart, sweetie, steady, truelove",a person loved by another person,3.111111111
n09941964,"commanding officer, commandant, commander",an officer in command of a military unit,3.111111111
n09840217,"baron, big businessman, business leader, king, magnate, mogul, power, top executive, tycoon","a very wealthy or powerful businessman; ""an oil baron""",3.111111111
n10320484,mining engineer,an engineer concerned with the construction and operation of mines,3.111111111
n09871095,"slugger, slogger",a boxer noted for an ability to deliver hard punches,3.105263158
n10227393,junior,a third-year undergraduate,3.105263158
n10374541,oilman,a worker who produces or sells petroleum,3.105263158
n10096508,flight surgeon,a medical officer specializing in aviation medicine,3.105263158
n10279018,"machinist, mechanic, shop mechanic",a craftsman skilled in operating machine tools,3.105263158
n10068234,"examiner, tester, quizzer",someone who administers a test to determine your qualifications,3.1
n09861863,boatbuilder,a person who builds boats,3.1
n09833751,balancer,an acrobat who balances himself in difficult positions,3.1
n10227698,junior lightweight,weighs no more than 130 pounds,3.1
n10592049,shop girl,a young female shop assistant,3.1
n09994400,"day laborer, day labourer",a laborer who works by the day; for daily wages,3.1
n10121714,gasman,someone employed by a gas company,3.1
n10091997,fire walker,someone who walks barefoot on burning coals,3.090909091
n10076604,"falconer, hawker",a person who breeds and trains hawks and who follows the sport of falconry,3.090909091
n10227793,junior middleweight,weighs no more than 154 pounds,3.083333333
n10369317,oboist,a musician who plays the oboe,3.083333333
n09870096,bowler,a cricketer who delaivers the ball to the batsman in cricket,3.083333333
n10304086,mayoress,the wife of a mayor,3.083333333
n10151570,guide,someone who shows the way by leading or advising,3.083333333
n10271677,"Lord, noble, nobleman",a titled peer of the realm,3.083333333
n09833111,bailiff,an officer of the court who is employed to execute writs and processes and make arrests etc.,3.076923077
n10377633,oncologist,a specialist in oncology,3.076923077
n10641223,sprog,a child,3.076923077
n09867069,"bootmaker, boot maker",a maker of boots,3.071428571
n09959142,constable,a lawman with less authority and jurisdiction than a sheriff,3.071428571
n09815790,"assistant, helper, help, supporter","a person who contributes to the fulfillment of a need or furtherance of an effort or purpose; ""my invaluable assistant""; ""they hired additional help to finish the work""",3.071428571
n09890749,"candidate, prospect",someone who is considered for something (for an office or prize or honor etc.),3.066666667
n10115430,fullback,(football) the running back who plays the fullback position on the offensive team,3.066666667
n09861287,bluecoat,a person dressed all in blue (as a soldier or sailor),3.066666667
n10215623,investigator,someone who investigates,3.0625
n09725229,North American,a native or inhabitant of North America,3.0625
n10106995,"foster-sister, foster sister",your foster sister is a female who is not a daughter of your parents but who is raised by your parents,3.0625
n10356450,newspaper editor,the editor of a newspaper,3.058823529
n09734450,Tibetan,a native or inhabitant of Tibet,3.055555556
n09606009,"adventurer, venturer",a person who enjoys taking risks,3.055555556
n09864632,bombshell,"an entertainer who has a sensational effect; ""she was a blonde bombshell""",3.055555556
n10044682,ectomorph,a person with a thin body,3.052631579
n10590903,shirtmaker,a maker of shirts,3.052631579
n10033412,"dressmaker, modiste, needlewoman, seamstress, sempstress",someone who makes or mends dresses,3.05
n09760609,companion,one paid to accompany or assist or live with another,3.047619048
n10244913,land agent,a person who administers a landed estate,3
n09972010,"cousin, first cousin, cousin-german, full cousin",the child of your aunt or uncle,3
n10404998,paster,a workman who pastes,3
n09905185,"certified public accountant, CPA","an accountant who has passed certain examinations and met all other statutory and licensing requirements of a United States state to be certified by that state; ""in addition to accounting and auditing, CPAs also prepare tax returns for individuals and corporations""",3
n10724132,transcriber,someone who represents the sounds of speech in phonetic notation,3
n10756148,viscount,(in various countries) a son or younger brother or a count,3
n09644152,"Mongol, Mongolian",a member of the nomadic peoples of Mongolia,3
n10241024,"labor coach, birthing coach, doula, monitrice",an assistant (often the father of the soon-to-be-born child) who provides support for a woman in labor by encouraging her to use techniques learned in childbirth-preparation classes,3
n10140597,governor general,a governor of high rank,3
n10292316,"manufacturer, producer",someone who manufactures something,3
n10494195,puritan,someone who adheres to strict religious principles; someone opposed to sensual pleasures,3
n10117415,"gagman, standup comedian",a comedian who uses gags,3
n10245863,"landscape architect, landscape gardener, landscaper, landscapist",someone who arranges features of the landscape or garden attractively,3
n10368291,"nursling, nurseling, suckling",an infant considered in relation to its nurse,3
n09767197,"actor, doer, worker","a person who acts and gets things done; ""he's a principal actor in this affair""; ""when you want something done get a doer""; ""he's a miracle worker""",3
n10438842,plasterer,a worker skilled in applying plaster,3
n10093475,"first sergeant, sergeant first class",a sergeant in the Army above the rank of staff sergeant and below master sergeant,3
n10307114,melter,a worker who melts substances (metal or wax etc.),3
n10146104,"great-niece, grandniece",a daughter of your niece or nephew,3
n10054657,employer,a person or firm that employs workers,3
n09873899,"breeder, stock breeder",a person who breeds animals,3
n09813219,"artist's model, sitter",a person who poses for a painter or sculptor,3
n10462860,"practitioner, practician",someone who practices a learned profession,3
n10262445,lightweight,a professional boxer who weighs between 131 and 135 pounds,3
n10316360,military attache,an attache who is a specialist in military matters,3
n10195261,"hypnotist, hypnotizer, hypnotiser, mesmerist, mesmerizer",a person who induces hypnosis,3
n10261511,light flyweight,an amateur boxer who weighs no more than 106 pounds,3
n10371450,"officeholder, officer","someone who is appointed or elected to an office and who holds a position of trust; ""he is an officer of the court""; ""the club elected its officers for the coming year""",3
n10008123,desk officer,a military officer who is not assigned to active duty,3
n10152616,guru,a Hindu or Buddhist religious leader and spiritual teacher,3
n10384214,"ornithologist, bird watcher",a zoologist who studies birds,3
n10130686,"girlfriend, girl, lady friend","a girl or young woman with whom a man is romantically involved; ""his girlfriend kicked him out""",3
n10471732,"prima donna, diva",a distinguished female operatic singer; a female operatic star,3
n10602985,"sister, sis","a female person who has the same parents as another person; ""my sister married a musician""",3
n09938449,color guard,a ceremonial escort for the (regimental) colors,3
n10098862,folk dancer,someone who does folk dances,3
n10077593,"fan, buff, devotee, lover",an ardent follower and admirer,3
n10439727,"playboy, man-about-town, Corinthian",a man devoted to the pursuit of pleasure,3
n10530959,"right-hander, right hander, righthander",a person who uses the right hand more skillfully than the left,3
n10187990,"hotelier, hotelkeeper, hotel manager, hotelman, hosteller",an owner or manager of hotels,3
n10335931,mover,someone who moves,3
n09824135,"authoritarian, dictator","a person who behaves in a tyrannical manner; ""my boss is a dictator who makes everyone work overtime""",3
n09837720,banker,the person in charge of the bank in a gambling game,3
n10696101,technical sergeant,a noncommissioned officer ranking below a master sergeant in the air force or marines,3
n10323634,mistress,a woman master who directs the work of others,3
n09932788,coastguardsman,a member of a coastguard,3
n09744679,New Yorker,a native or resident of New York (especially of New York City),3
n10536134,"rocket engineer, rocket scientist",an engineer who builds and tests rockets,3
n10541833,"civil authority, civil officer",a person who exercises authority over civilian affairs,3
n09773962,"advertiser, advertizer, adman",someone whose business is advertising,3
n10282482,"maid, maiden",an unmarried girl (especially a virgin),3
n10431122,piano maker,a person who makes pianos,3
n10580437,septuagenarian,someone whose age is in the seventies,3
n10262561,lightweight,a wrestler who weighs 139-154 pounds,3
n10473562,prince consort,a prince who is the husband of a reigning female sovereign,3
n09835348,balloonist,someone who flies a balloon,3
n10104756,"forester, tree farmer, arboriculturist",someone trained in forestry,3
n10414768,pentathlete,an athlete who competes in a pentathlon,3
n10308168,board member,a member of a governing board,3
n10483395,"property man, propman, property master",member of the stage crew in charge of properties,3
n09718936,Korean,a native or inhabitant of Korea who speaks the Korean language,3
n10295479,"marquis, marquess",nobleman (in various countries) ranking above a count,3
n10127689,geologist,a specialist in geology,3
n10590146,shipmate,an associate on the same ship with you,3
n09868270,"botanist, phytologist, plant scientist",a biologist specializing in the study of plants,3
n09733459,Syrian,a native or inhabitant of Syria,3
n10631131,native speaker,"a speaker of a particular language who has spoken that language since earliest childhood; ""native speakers of French""",3
n10476467,"private, buck private, common soldier","an enlisted man of the lowest rank in the Army or Marines; ""our prisoner was just a private and knew nothing of value""",3
n10435716,"pisser, urinator",a person who urinates,3
n10291110,manipulator,a person who handles things manually,3
n10750640,vicar-general,(Roman Catholic Church) an administrative deputy who assists a bishop,3
n10105733,forward,"the person who plays the position of forward in certain games, such as basketball, soccer, or hockey",3
n10567722,"seasonal worker, seasonal",a worker who finds employment only in certain seasons,3
n10478960,"proctor, monitor",someone who supervises (an examination),3
n09797873,Anzac,a soldier in the Australian and New Zealand army corps during World War I,3
n10090745,finder,someone who comes upon something after searching,2.95
n10624437,songstress,a woman songster (especially of popular songs),2.947368421
n09942970,commissioned officer,a military officer holding a commission,2.947368421
n10712474,tinter,a hairdresser who tints hair,2.941176471
n10136615,"goldsmith, goldworker, gold-worker",an artisan who makes jewelry and other objects out of gold,2.9375
n10548537,salesman,a man salesperson,2.933333333
n10300041,"mate, first mate",the officer below the master on a commercial ship,2.933333333
n10142946,grandmaster,a player of exceptional or world class skill in chess or bridge,2.933333333
n10277638,"lutist, lutanist, lutenist",a musician who plays the lute,2.933333333
n09865672,book agent,a book salesman,2.928571429
n10782362,wing commander,(RAF rank) one who is next below a group captain,2.923076923
n09991867,"darling, favorite, favourite, pet, dearie, deary, ducky",a special loved one,2.916666667
n10027246,"double, image, look-alike","someone who closely resembles a famous person (especially an actor); ""he could be Gingrich's double""; ""she's the very image of her mother""",2.916666667
n10384392,orphan,a child who has lost both parents,2.909090909
n10783646,wiper,a worker who wipes,2.909090909
n09817386,associate professor,a teacher lower in rank than a full professor but higher than an assistant professor,2.9
n09909660,charcoal burner,a worker whose job is to make charcoal,2.9
n10249869,law student,a student in law school,2.894736842
n10484858,"prosecutor, public prosecutor, prosecuting officer, prosecuting attorney",a government official who conducts criminal prosecutions on behalf of the state,2.888888889
n10783240,"window dresser, window trimmer",someone who decorates shop windows,2.882352941
n09975425,"craftsman, crafter","a creator of great skill in the manual arts; ""the jewelry was made by internationally famous craftsmen""",2.882352941
n10328437,moneymaker,someone who is successful in accumulating wealth,2.88
n10660128,store detective,a private detective employed by a merchant to stop pilferage,2.875
n10024362,"domestic partner, significant other, spousal equivalent, spouse equivalent",a person (not necessarily a spouse) with whom you cohabit and share a long-term sexual relationship,2.875
n10577284,"seller, marketer, vender, vendor, trafficker",someone who promotes or exchanges goods or services for money,2.875
n10020670,divorce lawyer,a lawyer specializing in actions for divorce or annulment,2.875
n09632518,worker,"a person who works at a specific occupation; ""he is a good worker""",2.875
n10226413,juggler,a performer who juggles objects and performs tricks of manual dexterity,2.875
n10505347,rainmaker,American Indian medicine man who attempt to make it rain,2.875
n09689435,"Afghan, Afghanistani",a native or inhabitant of Afghanistan,2.875
n10554141,sawyer,one who is employed to saw wood,2.866666667
n10572706,Secretary of State,"the person who holds the secretaryship of the Department of State; ""the first Secretary of State was Thomas Jefferson""",2.866666667
n09765118,active citizen,a citizen who takes an active role in the community (as in crime prevention and neighborhood watch),2.866666667
n09983889,"curator, conservator",the custodian of a collection (as a museum or library),2.857142857
n10618234,sob sister,a journalist who specializes in sentimental stories,2.857142857
n10531109,"right-hand man, chief assistant, man Friday",the most helpful assistant,2.857142857
n10092978,"first lieutenant, 1st lieutenant",a commissioned officer in the Army or Air Force or Marines ranking above a 2nd lieutenant and below a captain,2.857142857
n10517137,registrar,a person employed to keep a record of the owners of stocks and bonds issued by the company,2.857142857
n09701833,Englishwoman,a woman who is a native or inhabitant of England,2.857142857
n09785659,alpinist,a mountain climber who specializes in difficult climbs,2.857142857
n10069981,executive secretary,a secretary having administrative duties and responsibilities,2.857142857
n10210648,"interior designer, designer, interior decorator, house decorator, room decorator, decorator",a person who specializes in designing architectural interiors and their furnishings,2.857142857
n10533983,"roarer, bawler, bellower, screamer, screecher, shouter, yeller",someone who communicates vocally in a very loud voice,2.857142857
n09901921,cat fancier,a person who breeds and cares for cats,2.857142857
n10320863,"minister, government minister","a person appointed to a high office in the government; ""Minister of Finance""",2.857142857
n10523341,reservist,a member of a military reserve,2.857142857
n10745006,"valedictorian, valedictory speaker",the student with the best grades who usually delivers the valedictory address at commencement,2.846153846
n10676434,supermom,an informal term for a mother who can combine childcare and full-time employment,2.842105263
n10381981,orderly,"a soldier who serves as an attendant to a superior officer; ""the orderly laid out the general's uniform""",2.842105263
n10655169,"stevedore, loader, longshoreman, docker, dockhand, dock worker, dockworker, dock-walloper, lumper",a laborer who loads and unloads vessels in a port,2.833333333
n10669991,"subordinate, subsidiary, underling, foot soldier",an assistant subject to the authority or control of another,2.833333333
n10692482,"taster, taste tester, taste-tester, sampler",someone who samples food or drink for its quality,2.833333333
n10356877,"newsreader, news reader",someone who reads out broadcast news bulletin,2.833333333
n09866354,bookmaker,a maker of books; someone who edits or publishes or binds books,2.833333333
n09970088,counterterrorist,someone who attempts to prevent terrorism,2.833333333
n09931418,"coach, private instructor, tutor","a person who gives private instruction (as in singing, acting, etc.)",2.833333333
n10636488,"spinster, old maid",an elderly unmarried woman,2.833333333
n10557854,"scholar, scholarly person, bookman, student",a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines,2.833333333
n09917345,chief petty officer,a person with the senior noncommissioned naval rank,2.833333333
n10283366,major,"a university student who is studying a particular field as the principal subject; ""she is a linguistics major""",2.833333333
n09895902,caretaker,"an official who performs the duties of an office temporarily; ""he acted as a caretaker until a new president could be elected""",2.833333333
n10259780,"lieutenant colonel, light colonel",a commissioned officer in the United States Army or Air Force or Marines holding a rank above major and below colonel,2.833333333
n10185483,hornist,a musician who plays a horn (especially a French horn),2.833333333
n10562283,scorer,a logger who marks trees to be felled,2.818181818
n10338391,muncher,a chewer who makes a munching noise,2.818181818
n10321126,ministrant,someone who serves as a minister,2.80952381
n09967967,co-star,one of two actors who are given equal status as stars in a play or film,2.8
n10111358,free trader,an advocate of unrestricted international trade,2.8
n09855433,biographer,someone who writes an account of a person's life,2.8
n10178077,hitchhiker,a person who travels by getting free rides from passing vehicles,2.8
n09697401,Central American,a native or inhabitant of Central America,2.8
n10298271,masseuse,a female massager,2.8
n10067305,Evangelist,"(when capitalized) any of the spiritual leaders who are assumed to be authors of the Gospels in the New Testament: Matthew, Mark, Luke, and John",2.8
n10103155,foremother,a woman ancestor,2.8
n10394786,"paleontologist, palaeontologist, fossilist",a specialist in paleontology,2.8
n10281770,"maharani, maharanee",a great rani; a princess in India or the wife of a maharaja,2.8
n10754189,"vintner, wine merchant",someone who sells wine,2.8
n09747191,"Vietnamese, Annamese",a native or inhabitant of Vietnam,2.8
n09625401,"national, subject","a person who owes allegiance to that nation; ""a monarch has a duty to his subjects""",2.8
n10753061,Victorian,a person who lived during the reign of Victoria,2.8
n10211666,International Grandmaster,a chess player who has been awarded the highest title by an international chess organization,2.8
n10421956,"philanthropist, altruist",someone who makes charitable donations intended to increase human well-being,2.8
n10407954,"patron, sponsor, supporter",someone who supports or champions something,2.8
n10172080,"hermaphrodite, intersex, gynandromorph, androgyne, epicene, epicene person",one having both male and female sexual characteristics and organs; at birth an unambiguous assignment of male or female cannot be made,2.8
n10298647,master,directs the work of others,2.8
n10586903,shaver,an adult male who shaves,2.8
n10108089,four-minute man,someone who has run the mile in less that 4 minutes,2.8
n10360366,noncandidate,someone who has announced they are not a candidate; especially a politician who has announced that he or she is not a candidate for some political office,2.8
n09994673,"deacon, Protestant deacon",a Protestant layman who assists the minister,2.8
n10017422,dispatcher,employee of a transportation company who controls the departures of vehicles according to weather conditions and in the interest of efficient service,2.8
n10645017,staff sergeant,a noncommissioned officer ranking above corporal and below sergeant first class in the Army or Marines or above airman 1st class in the Air Force,2.8
n10191613,"humanitarian, do-gooder, improver",someone devoted to the promotion of human welfare and to social reforms,2.8
n09990690,clog dancer,someone who does clog dancing,2.8
n10183347,honest woman,"a wife who has married a man with whom she has been living for some time (especially if she is pregnant at the time); ""he made an honest woman of her""",2.8
n10296176,"marshal, marshall",(in some countries) a military officer of highest rank,2.8
n09920901,"chorus girl, showgirl, chorine",a woman who dances in a chorus line,2.8
n09856401,bird fancier,a person with a strong interest in birds,2.8
n09770179,"adjutant, aide, aide-de-camp",an officer who acts as military assistant to a more senior officer,2.8
n09845849,"beatnik, beat",a member of the beat generation; a nonconformist in dress and behavior,2.8
n10466198,"presenter, sponsor",an advocate who presents a person (as for an award or a degree or an introduction etc.),2.8
n09617577,experimenter,a research worker who conducts experiments,2.791666667
n10236304,"kin, kinsperson, family","a person having kinship with another or others; ""he's kin""; ""he's family""",2.777777778
n10252354,"lector, reader",someone who reads the lessons in a church service; someone ordained in a minor order of the Roman Catholic Church,2.777777778
n10341446,musketeer,a foot soldier armed with a musket,2.769230769
n10331167,morris dancer,someone who does a morris dance,2.764705882
n10186350,"horticulturist, plantsman",an expert in the science of cultivating plants (fruit or flowers or vegetables or ornamental plants),2.76
n10095769,flatmate,an associate who shares an apartment with you,2.756756757
n10596899,"signaler, signaller",someone who communicates by signals,2.75
n09791419,market strategist,someone skilled in planning marketing campaigns,2.75
n10164025,"headman, tribal chief, chieftain, chief",the head of a tribe or clan,2.75
n10227985,"jurist, legal expert",a legal scholar versed in civil law or the law of nations,2.75
n09748648,Prussian,a German inhabitant of Prussia,2.75
n09978442,criminologist,a specialist in criminology,2.743589744
n09961331,contributor,a writer whose work is published in a newspaper or magazine or as part of a book,2.736842105
n10497645,"quadruplet, quad",one of four children born at the same time from the same pregnancy,2.733333333
n10794014,"writer, author",writes (books or stories or articles or the like) professionally (for pay),2.733333333
n10304650,mechanical engineer,a person trained to design and construct machines,2.727272727
n09913329,cheerer,a spectator who shouts encouragement,2.727272727
n09943811,commissioner,a government administrator,2.727272727
n10494373,Puritan,a member of a group of English Protestants who in the 16th and 17th centuries thought that the Protestant Reformation under Elizabeth was incomplete and advocated the simplification and regulation of forms of worship,2.727272727
n10015215,"director, theater director, theatre director",someone who supervises the actors and directs the action in the production of a show,2.727272727
n10174330,highbrow,a person of intellectual or erudite tastes,2.714285714
n10138369,good guy,any person who is on your side,2.714285714
n09857007,"bisexual, bisexual person",a person who is sexually attracted to both sexes,2.714285714
n10181799,home buyer,someone buying a house,2.714285714
n09998788,"deckhand, roustabout",a member of a ship's crew who performs manual labor,2.714285714
n09828988,baby farmer,someone who runs an establishment that houses and cares for babies for a fee,2.714285714
n09881895,business editor,the newspaper editor responsible for business news,2.714285714
n10162194,hater,a person who hates,2.714285714
n10227490,"Junior, Jr, Jnr",a son who has the same first name as his father,2.714285714
n10462751,"power worker, power-station worker",a worker at a power station,2.714285714
n10135129,godson,a male godchild,2.705882353
n10400205,park commissioner,a commissioner in charge of public parks,2.7
n10079399,"farmhand, fieldhand, field hand, farm worker",a hired hand on a farm,2.7
n10266848,"litigant, litigator","(law) a party to a lawsuit; someone involved in litigation; ""plaintiffs and defendants are both litigants""",2.7
n10422405,"philatelist, stamp collector",a collector and student of postage stamps,2.695652174
n10493419,punter,someone who propels a boat with a pole,2.692307692
n10170060,hire,"a newly hired employee; ""the new hires need special training""",2.692307692
n10171456,"herbalist, herb doctor",a therapist who heals by the use of herbs,2.666666667
n09761753,"account executive, account representative, registered representative, customer's broker, customer's man",someone in charge of a client's account for an advertising agency or brokerage or other service business,2.666666667
n10245639,"landowner, landholder, property owner",a holder or proprietor of land,2.666666667
n09826605,"aviatrix, airwoman, aviatress",a woman aviator,2.666666667
n10525436,"retailer, retail merchant",a merchant who sells goods at retail,2.666666667
n10099002,folk poet,a folk writer who composes in verse,2.666666667
n10469611,"press agent, publicity man, public relations man, PR man",someone employed to arrange publicity (for a firm or a public figure),2.666666667
n10420507,"pet sitter, critter sitter",someone left in charge of pets while their owners are away from home,2.666666667
n10131590,gitano,a Spanish male Gypsy,2.666666667
n10432189,"picnicker, picknicker",a person who is picnicking,2.666666667
n10139651,gossip columnist,a journalist who writes a column of gossip about celebrities,2.666666667
n10500824,Queen's Counsel,Counsel to the Crown when the British monarch is a queen,2.666666667
n10364502,"nuclear chemist, radiochemist",a chemist who specializes in nuclear chemistry,2.666666667
n10637483,split end,(football) an offensive end who lines up at a distance from the other linemen,2.666666667
n09788237,"amicus curiae, friend of the court",an adviser to the court on some matter of law who is not a party to the case; usually someone who wants to influence the outcome of a lawsuit involving matters of wide public interest,2.666666667
n10654015,"stenographer, amanuensis, shorthand typist",someone skilled in the transcription of speech (especially dictation),2.666666667
n09959658,constructivist,an artist of the school of constructivism,2.666666667
n10678937,supremo,the most important person in an organization,2.666666667
n10252547,lecturer,someone who lectures professionally,2.647058824
n10235269,King's Counsel,Counsel to the Crown when the British monarch is a king,2.647058824
n10222716,job candidate,an applicant who is being considered for a job,2.642857143
n09770359,adjutant general,a general's adjutant; chief administrative officer,2.642857143
n09836786,picador,the horseman who pricks the bull with a lance early in the bullfight to goad the bull and to make it keep its head low,2.640625
n09826821,ayah,(in India) a native nursemaid who looks after children,2.636363636
n10383237,"organizer, organiser, arranger","a person who brings order and organization to an enterprise; ""she was the organizer of the meeting""",2.636363636
n10742111,"usher, doorkeeper",an official stationed at the entrance of a courtroom or legislative chamber,2.636363636
n10308732,"mender, repairer, fixer",a skilled worker who mends or repairs things,2.636363636
n09613191,contestant,a person who participates in competitions,2.636363636
n10510245,rear admiral,an admiral junior to a vice admiral,2.631578947
n10747424,vegan,a strict vegetarian; someone who eats no animal or dairy products at all,2.631578947
